Empresa,RIF,ORD-04-11-SOL,ORD-04-11-MON,OTRO-04-11-SOL,OTRO-04-11-MON,Sol,Mon
TECMAR CA,J-314068156,4,"$516,235",0,$0,4,"$516,235"
"TECNI SERVICE, C.A.",J-312671190,3,"$188,045",0,$0,3,"$188,045"
"TECNI SUPLIDORA, C.A.",J-304514883,293,"$6,386,788",0,$0,293,"$6,386,788"
"TECNI-CIENCIA LIBROS 7, C.A.",J-305379556,196,"$4,859,162",0,$0,196,"$4,859,162"
TECNI-TEMPLEX C.A,J-300281930,2,"$21,571",0,$0,2,"$21,571"
"TECNICA 1605, C.A.",J-316336018,25,"$1,682,892",0,$0,25,"$1,682,892"
TECNICA COMERCIAL DE INGENIERIA CA,J-002477474,1,"$5,249",0,$0,1,"$5,249"
"TECNICA CRUMER, S.A.",J-311253300,20,"$821,428",0,$0,20,"$821,428"
"TECNICA DE ACONDICIONAMIENTO HYDROCLIMA, S.A.",J-001270787,55,"$2,633,094",0,$0,55,"$2,633,094"
"TECNICA DE CALDERAS TECAL, S.A (ANTES TECNICA DE CALDERAS",J-075777344,88,"$1,279,049",0,$0,88,"$1,279,049"
"TECNICA DE CONTROL DEL FUEGO, C.A.",J-000898480,851,"$16,817,728",0,$0,851,"$16,817,728"
"TECNICA DE PRECISION EL PENDULO, C.A.",J-1866230,7,"$68,551",0,$0,7,"$68,551"
TECNICA DE REPRESENTACIONES INTERNACIONALES C.A.,J-095110494,33,"$1,022,512",0,$0,33,"$1,022,512"
TECNICA ELECTRO MECANICA CLORIS TEMECA C.A.,J-312416939,48,"$1,983,208",0,$0,48,"$1,983,208"
TECNICA EN MOLDES TECNIMOLD C.A,J-075563760,2,"$111,530",0,$0,2,"$111,530"
"TECNICA MANUFACTURERA DE PAPEL TECMAPAL, C.A.",J-001476679,2,"$639,533",0,$0,2,"$639,533"
"TECNICA MARMOLERA VENEZOLANA, C.A.",J-000360910,1118,"$28,266,055",0,$0,1118,"$28,266,055"
"TECNICA MONTE BLANCO, C.A.",J-002029080,19,"$982,278",0,$0,19,"$982,278"
"TECNICA PETROLERA WLP, C.A.",J-304707118,3,"$478,395",0,$0,3,"$478,395"
"TECNICA SANTANA GARCIA, C.A.",J-000821097,17,"$1,444,038",0,$0,17,"$1,444,038"
"TECNICARBON, C.A.",J-001109102,74,"$3,099,516",0,$0,74,"$3,099,516"
TECNICAS COVIMI CA,J-002197293,25,"$712,817",0,$0,25,"$712,817"
"TECNICONTROL ELECTRONICS TEC, C.A.",J-304603339,167,"$3,716,595",0,$0,167,"$3,716,595"
"TECNICOS INDUSTRIALES Y PETROLEROS, C.A.",J-315232294,10,"$604,980",0,$0,10,"$604,980"
"TECNIPARQUES 192, C.A.",J-300607232,36,"$520,962",0,$0,36,"$520,962"
"TECNIPARTS 95, C.A.",J-302328730,97,"$3,844,144",0,$0,97,"$3,844,144"
TECNIPHONE CELL,J-306789685,5,"$118,999",0,$0,5,"$118,999"
"TECNISERV 96, C.A.",J-311268510,29,"$7,474,351",0,$0,29,"$7,474,351"
TECNISISTEMA LANWORK PLACE C.A.,J-302738741,50,"$2,120,141",0,$0,50,"$2,120,141"
"TECNO ASCENSORES, C.A",J-315528495,24,"$2,198,662",0,$0,24,"$2,198,662"
"TECNO COMPUTACION 3000, S.A.",J-001791000,409,"$49,220,235",0,$0,409,"$49,220,235"
TECNO CONGELADORES VENEZOLANOS C.A.,J-001233067,67,"$3,157,401",0,$0,67,"$3,157,401"
"TECNO CONTROLES ORIENTE,C.A",J-080245342,577,"$13,174,910",0,$0,577,"$13,174,910"
"TECNO CONTROLES, C.A.",J-000930015,271,"$3,970,045",0,$0,271,"$3,970,045"
"TECNO EMBALAJE, C.A.",J-000882827,396,"$9,183,919",2,"$6,358",398,"$9,190,277"
TECNO FLOPPY C.A.,J-003023930,1,"$6,984",0,$0,1,"$6,984"
TECNO INVERSIONES C.A.,J-309272292,8,"$350,030",0,$0,8,"$350,030"
"TECNO MAQUINAS Y PARTES LS, C.A.",J-293654238,0,$0,0,$0,0,$0
TECNO PLANET C.A,J-312206802,94,"$11,832,254",0,$0,94,"$11,832,254"
TECNO REFRIGERACION Y REBOBINADOS MC SA,J-075600495,145,"$3,079,542",0,$0,145,"$3,079,542"
TECNO REPUESTOS C.A.,J-000360626,7,"$107,288",0,$0,7,"$107,288"
TECNO SERVICIOS MARA C.A,J-070178221,1,"$201,131",0,$0,1,"$201,131"
"TECNO SERVICIOS Y SUMINISTROS PETROLEROS, C.A.",J-310928150,11,"$516,613",0,$0,11,"$516,613"
TECNO-INVESTMENT C.A.,J-070506393,4,"$34,475",0,$0,4,"$34,475"
"TECNOAGUA, C.A.",J-312355255,4,"$103,272",0,$0,4,"$103,272"
"TECNOAMBIENTE, C.A.",J-306175989,6,"$86,487",0,$0,6,"$86,487"
"TECNOAP VENEZUELA, S.A.",J-310901562,1,"$78,202",0,$0,1,"$78,202"
TECNOAVICOLA.C.A.,J-310435987,89,"$5,142,471",0,$0,89,"$5,142,471"
"TECNOCAUCHOS LA RANGEL, C.A.",J-311071490,54,"$4,235,561",0,$0,54,"$4,235,561"
TECNOCENTER C.A.,J-075500709,80,"$1,169,209",0,$0,80,"$1,169,209"
"TECNOCONCRET, C.A.",J-000360677,160,"$1,982,194",0,$0,160,"$1,982,194"
"TECNOCONTROLES OCCIDENTE,C.A.",J-75411056,27,"$291,281",0,$0,27,"$291,281"
TECNOCOSTURA C.A.,J-001537988,83,"$2,063,617",0,$0,83,"$2,063,617"
TECNOEQUIP C.A.,J-002314494,87,"$3,447,507",0,$0,87,"$3,447,507"
TECNOFLAVORS S.A.,J-003375217,23,"$2,834,658",0,$0,23,"$2,834,658"
TECNOGRANOS TGS C.A.,J-307024151,28,"$630,602",0,$0,28,"$630,602"
"TECNOGRES DE VENEZUELA, C.A.",J-294194923,1,"$6,716,676",0,$0,1,"$6,716,676"
TECNOHABITATCARACAS C.A.,G-200100648,0,$0,0,$0,0,$0
"TECNOHILO 2000, C.A.",J-304322801,66,"$6,872,579",0,$0,66,"$6,872,579"
"TECNOLAM DE VENEZUELA,C.A.",J-001889523,292,"$15,194,047",0,$0,292,"$15,194,047"
TECNOLOGIA AVICOLA D.G. C.A.,J-313626996,76,"$15,134,345",0,$0,76,"$15,134,345"
"TECNOLOGIA CLINICA CARDIOPULSO, C.A.",J-306449191,256,"$11,849,515",0,$0,256,"$11,849,515"
TECNOLOGIA COPIATIVA DEL PAPEL TECOP C.A.,J-306255613,22,"$663,298",0,$0,22,"$663,298"
TECNOLOGIA DE VANGUARDIA 2000 C.A.,J-316122093,14,"$7,216,377",0,$0,14,"$7,216,377"
"TECNOLOGIA DIGITAL, C.A.",J-308874523,1,"$9,192",0,$0,1,"$9,192"
"TECNOLOG�A DOS, C.A.",J-304998074,666,"$12,829,893",0,$0,666,"$12,829,893"
"TECNOLOGIA ELECTRICA, C.A.",J-302030625,15,"$487,478",0,$0,15,"$487,478"
"TECNOLOG�A MEDICA DEL CARIBE, C. A.",J-001832726,529,"$19,454,672",0,$0,529,"$19,454,672"
TECNOLOGIA OMEGA C.A.,J-001690174,2,"$40,780",0,$0,2,"$40,780"
TECNOLOGIA PARA CORROSION C.A.,J-307820535,10,"$549,196",0,$0,10,"$549,196"
"TECNOLOGIA SMARTMATIC DE VENEZUELA, C.A",J-304116128,11,"$5,307,853",0,$0,11,"$5,307,853"
TECNOLOG�A TGK C.A.,J-2754281,51,"$1,126,642",0,$0,51,"$1,126,642"
TECNOLOGIA VIDEO HD C.A,J-299253910,0,$0,0,$0,0,$0
"TECNOLUB ZZ, C.A.",J-315692562,0,$0,0,$0,0,$0
"TECNOMED J. TRAPP, C.A.",J-000036071,551,"$11,898,050",1,"$75,140",552,"$11,973,190"
TECNOMEDICA TEPUY C.A.,J-315367939,12,"$84,182",0,$0,12,"$84,182"
"TECNOMEDICAL LASER, C.A",J-307970650,0,$0,0,$0,0,$0
"TECNOMINERALES, C.A",J-303292631,0,$0,0,$0,0,$0
TECNONORTE C.A.,J-001366067,410,"$18,160,434",0,$0,410,"$18,160,434"
TECNOQUIM C.A.,J-312443847,127,"$10,767,078",0,$0,127,"$10,767,078"
TECNOSIMEX TECNICA DE ELEVACI�N,J-001672451,132,"$4,847,537",0,$0,132,"$4,847,537"
TECNOSPORTS DE VENEZUELA C.A.,J-003673099,10,"$951,738",0,$0,10,"$951,738"
TECNOSTEAM,J-307938200,118,"$7,551,773",0,$0,118,"$7,551,773"
TECNOTRACK NEUMATICA,J-302616000,107,"$2,195,914",2,$13,109,"$2,195,927"
TECNOTRACK NEUMATICA INDUSTRIAL,J-312088206,21,"$514,528",1,"$19,956",22,"$534,484"
TECNOTRACK VAPOR INDUSTRIAL C.A.,J-302616050,175,"$2,508,613",0,$0,175,"$2,508,613"
TECNOVEN C.A.,J-307103388,24,"$5,428,234",0,$0,24,"$5,428,234"
"TECOPIA, C.A.",J-001469788,406,"$8,144,423",0,$0,406,"$8,144,423"
TECPURCH INTERNATIONAL C.A.,J-070083468,9,"$42,059",0,$0,9,"$42,059"
TEDEA TECNICOS DENTALES ASOCIADOS C.A.,J-294449999,0,$0,0,$0,0,$0
"TEGO - QUIMICA, S. A.",J-001342591,178,"$7,021,671",1,"$194,950",179,"$7,216,621"
TEJAR CARABOBO C.A.,J-075259343,8,"$677,085",0,$0,8,"$677,085"
"TEJAS MIRANDA, S.A.",J-310999953,4,"$268,571",0,$0,4,"$268,571"
TEJEDURIA SURAMERICANA C.A,J-313127540,23,"$7,462,158",0,$0,23,"$7,462,158"
TEJEDURIAS UNIDAS CA,J-306757988,2,"$31,702",0,$0,2,"$31,702"
TEJIDOS DE PUNTO FOGEL C.A.,J-000361363,10,"$252,881",0,$0,10,"$252,881"
"TEJIDOS DE PUNTO PISANO, C.A",J-305224986,338,"$20,961,318",0,$0,338,"$20,961,318"
